woiku	ͷοῖκυ	ͷοῖκυ	Pamphylian form of οἶκος (oîkos)	0
aien	αἰέν	αἰέν	Epic and Tragic form of ἀεί (aeí)	0
aigagrou	αἰγάγρου	αἴγαγρος	a wild goat	0
aigi	αἰγί	αἴξ	goat (especially a she-goat)	0
aigida	αἰγίδα	αἰγίς	the aegis	1
aigidion	αἰγίδιον	αἴξ	goat (especially a she-goat)	0
aigilops	αἰγίλωψ	αἰγίλωψ	haver-grass (Aegilops neglecta)	1
aigis	αἰγίς	αἰγίς	the aegis	1
aigialos	αἰγιαλός	αἰγιαλός	beach	0
aigoin	αἰγοῖν	αἴξ	goat (especially a she-goat)	0
aigoiin	αἰγοῖϊν	αἴξ	goat (especially a she-goat)	0
aigupios	αἰγυπιός	αἰγυπιός	vulture	0
aigolios	αἰγωλιός	αἰγωλιός	small kind of owl	0
aigos	αἰγός	αἴξ	goat (especially a she-goat)	0
aigon	αἰγῶν	αἴξ	goat (especially a she-goat)	0
aideomai	αἰδέομαι	αἰδέομαι	to be ashamed	0
aidiles	αἰδίλης	αἰδίλης	aedile (an official in Ancient Rome)	0
aidoi	αἰδοί	αἰδώς	shame	0
aidoie	αἰδοίη	αἰδοῖος	modest, bashful	0
aidoia	αἰδοῖα	αἰδοῖος	modest, bashful	0
aidoion	αἰδοῖον	αἰδοῖον	the genitals	0
aidoios	αἰδοῖος	αἰδοῖος	modest, bashful	0
aidous	αἰδοῦς	αἰδώς	shame	0
aidos	αἰδώς	αἰδώς	shame	0
aido	αἰδῶ	αἰδώς	shame	0
aiei	αἰεί	ἀεί	always	0
aizeos	αἰζηός	αἰζηός	vigorous (physically strong and active)	0
aizeon	αἰζηῶν	αἰζηός	vigorous (physically strong and active)	0
aithera	αἰθέρα	αἰθήρ	sky	0
aithere	αἰθέρε	αἰθήρ	sky	0
aitheri	αἰθέρι	αἰθήρ	sky	0
aitheros	αἰθέρος	αἰθήρ	sky	0
aither	αἰθήρ	αἰθήρ	sky	0
aithouse	αἰθούσῃ	αἴθουσα	portico, veranda	0
aikia	αἰκία	αἰκία	insult	0
aikizo	αἰκίζω	αἰκίζω	to maltreat, mistreat, injure, plague, torment	0
ailourou	αἰλούρου	αἴλουρος	cat	1
ailouro	αἰλούρω	αἴλουρος	cat	1
ailouron	αἰλούρων	αἴλουρος	cat	1
aina	αἰνά	αἰνός	horrible, dread, dreadful	0
aineo	αἰνέω	αἰνέω	to tell of	0
ainen	αἰνήν	αἰνός	horrible, dread, dreadful	0
ainetos	αἰνετός	αἰνετός	praiseworthy	0
ainon	αἰνόν	αἰνός	horrible, dread, dreadful	0
ainos	αἰνός	αἰνός	horrible, dread, dreadful	0
aines	αἰνῆς	αἰνός	horrible, dread, dreadful	0
aine	αἰνῇ	αἰνός	horrible, dread, dreadful	0
ainos	αἰνῶς	αἰνῶς	horribly, dreadfully	0
aixi	αἰξί	αἴξ	goat (especially a she-goat)	0
aixin	αἰξίν	αἴξ	goat (especially a she-goat)	0
aipen	αἰπήν	αἰπός	on a slope	0
aipeinos	αἰπεινός	αἰπεινός	high, steep	0
aipolia	αἰπόλια	αἰπόλιον	herd of goats	0
aipolion	αἰπόλιον	αἰπόλιον	herd of goats	0
aipolos	αἰπόλος	αἰπόλος	goatherd	0
aipos	αἰπός	αἰπός	on a slope	0
aipus	αἰπύς	αἰπύς	steep	0
aisalon	αἰσάλων	αἰσάλων	kind of hawk mentioned by Aristotle, perhaps the Bonelli's e	0
aiskhion	αἰσχίων	αἰσχρός	causing shame	0
aiskhoin	αἰσχοῖν	αἶσχος	shame	0
aiskhra	αἰσχρά	αἰσχρός	causing shame	0
aiskhran	αἰσχράν	αἰσχρός	causing shame	0
aiskhras	αἰσχράς	αἰσχρός	causing shame	0
aiskhre	αἰσχρέ	αἰσχρός	causing shame	0
aiskhrai	αἰσχραί	αἰσχρός	causing shame	0
aiskhroi	αἰσχροί	αἰσχρός	causing shame	0
aiskhrou	αἰσχροῦ	αἰσχρός	causing shame	0
aiskhron	αἰσχρόν	αἰσχρός	causing shame	0
aiskhros	αἰσχρός	αἰσχρός	causing shame	0
aiskhro	αἰσχρώ	αἰσχρός	causing shame	0
aiskhres	αἰσχρῆς	αἰσχρός	causing shame	0
aiskhros	αἰσχρῶς	αἰσχρῶς	shamefully, basely	0
aiskhoo	αἰσχόω	αἰσχόω	to make shameful, disgrace, dishonor	0
aiskhune	αἰσχύνη	αἰσχύνη	shame, disgrace	0
aiskhuno	αἰσχύνω	αἰσχύνω	to make ugly	0
aiskhon	αἰσχῶν	αἶσχος	shame	0
aiteo	αἰτέω	αἰτέω	to ask for, crave, demand, beg [with accusative ‘something’	0
aitia	αἰτία	αἰτία	charge, accusation, imputation, blame, guilt, fault	0
aitizo	αἰτίζω	αἰτίζω	to beg (for), importune	0
aitizon	αἰτίζων	αἰτίζω	to beg (for), importune	0
aitetos	αἰτητός	αἰτητός	asked for, requested	0
aikhma	αἰχμά	αἰχμή	point of a spear	0
aikhmazo	αἰχμάζω	αἰχμάζω	to throw or hurl a spear	0
aikhmas	αἰχμάς	αἰχμή	point of a spear	0
aikhme	αἰχμή	αἰχμή	point of a spear	0
aikhmen	αἰχμήν	αἰχμή	point of a spear	0
aikhmai	αἰχμαί	αἰχμή	point of a spear	0
aikhmain	αἰχμαῖν	αἰχμή	point of a spear	0
aikhmais	αἰχμαῖς	αἰχμή	point of a spear	0
aikhmes	αἰχμῆς	αἰχμή	point of a spear	0
aikhmon	αἰχμῶν	αἰχμή	point of a spear	0
aiolos	αἰόλος	αἰόλος	quick, nimble, swift	0
aion	αἰών	αἰών	lifetime	1
aionessi	αἰώνεσσι	αἰών	lifetime	1
aionios	αἰώνιος	αἰώνιος	age-long	0
aionon	αἰώνων	αἰών	lifetime	1
aiora	αἰώρα	αἰώρα	swing	0
aio	αἰῶ	αἰών	lifetime	1
aiona	αἰῶνα	αἰών	lifetime	1
aionas	αἰῶνας	αἰών	lifetime	1
aiones	αἰῶνες	αἰών	lifetime	1
aioni	αἰῶνι	αἰών	lifetime	1
aionos	αἰῶνος	αἰών	lifetime	1
aiosi	αἰῶσι	αἰών	lifetime	1
aiosin	αἰῶσιν	αἰών	lifetime	1
hai	αἱ	ὁ	the	0
aimasia	αἱμασιά	αἱμασιά	wall of dry stones	0
airesia	αἱρέσια	αἱρέσια	dues paid on discharge of cargoes	0
aireo	αἱρέω	αἱρέω	to take, grasp, seize	0
airesei	αἱρήσει	αἱρέω	to take, grasp, seize	0
aireseis	αἱρήσεις	αἱρέω	to take, grasp, seize	0
airesete	αἱρήσετε	αἱρέω	to take, grasp, seize	0
aireso	αἱρήσω	αἱρέω	to take, grasp, seize	0
airetizo	αἱρετίζω	αἱρετίζω	to choose, select	0
airetos	αἱρετός	αἱρετός	that may be taken or conquered	0
airei	αἱρεῖ	αἱρέω	to take, grasp, seize	0
aireis	αἱρεῖς	αἱρέω	to take, grasp, seize	0
aireite	αἱρεῖτε	αἱρέω	to take, grasp, seize	0
airoumen	αἱροῦμεν	αἱρέω	to take, grasp, seize	0
airo	αἱρῶ	αἱρέω	to take, grasp, seize	0
